Customer,State,Customer_Lifetime_Value,Response,Coverage,Education,Effective_To_Date,EmploymentStatus,Gender,Income,Location_Code,Marital_Status,Monthly_Premium_Auto,Months_Since_Last_Claim,Months_Since_Policy_Inception,Number_of_Open_Complaints,Number_of_Policies,Policy_Type,Policy,Renew_Offer_Type,Sales_Channel,Total_Claim_Amount,Vehicle_Class,Vehicle_Size
TR26615,Oregon,2498,No,Basic,High School or Below,1/17/11,Unemployed,M,0,Urban,Married,69,5,74,0,1,Corporate Auto,Corporate L2,Offer2,Branch,272.381465,Two-Door Car,Medsize
ZD44648,Arizona,9656,No,Extended,College,2002-12-11,Employed,M,29504,Suburban,Single,125,16,29,0,9,Personal Auto,Personal L3,Offer4,Web,1224.56345,SUV,Medsize
QW60568,California,8888,No,Premium,College,2002-06-11,Employed,M,58789,Rural,Married,111,4,69,0,3,Corporate Auto,Corporate L2,Offer3,Call Center,215.438825,Four-Door Car,Medsize
XS78545,Oregon,7347,No,Basic,College,1/18/11,Employed,F,29491,Suburban,Married,61,26,62,0,2,Personal Auto,Personal L2,Offer3,Web,292.8,Four-Door Car,Medsize
EU19773,Arizona,8578,No,Premium,High School or Below,1/19/11,Employed,F,78077,Urban,Married,107,11,47,2,6,Personal Auto,Personal L3,Offer2,Branch,438.069458,Four-Door Car,Medsize
ZL45417,California,3467,No,Extended,High School or Below,1/18/11,Unemployed,F,0,Suburban,Single,96,2,53,0,1,Personal Auto,Personal L3,Offer3,Agent,799.251165,Two-Door Car,Small
JS58659,Nevada,8901,No,Basic,Bachelor,1/13/11,Employed,M,76558,Urban,Married,74,2,45,0,2,Special Auto,Special L1,Offer4,Agent,216.980413,Four-Door Car,Medsize
XK84089,California,2619,Yes,Basic,Bachelor,2002-05-11,Employed,M,78618,Urban,Divorced,66,7,56,0,1,Personal Auto,Personal L3,Offer1,Agent,225.578841,Two-Door Car,Medsize
LH91968,Oregon,8838,Yes,Basic,Bachelor,1/21/11,Employed,M,82664,Rural,Married,114,24,10,3,9,Corporate Auto,Corporate L3,Offer2,Agent,133.425609,SUV,Medsize
NX63627,Oregon,10128,No,Extended,Doctor,1/16/11,Medical Leave,M,23053,Suburban,Married,132,5,97,0,8,Personal Auto,Personal L1,Offer2,Agent,780.941649,Sports Car,Medsize
ND62955,Nevada,4633,No,Basic,Bachelor,2001-05-11,Employed,M,50250,Suburban,Married,117,3,93,0,1,Personal Auto,Personal L3,Offer3,Agent,561.6,SUV,Medsize
YQ11786,Oregon,7796,No,Basic,High School or Below,2002-03-11,Employed,M,32169,Urban,Married,199,0,74,0,1,Personal Auto,Personal L3,Offer4,Call Center,785.82348,Luxury SUV,Medsize
TM13955,Washington,2993,No,Extended,Master,2/15/11,Unemployed,M,0,Urban,Married,80,28,97,0,1,Corporate Auto,Corporate L3,Offer1,Branch,286.115778,Four-Door Car,Medsize
IA91291,Arizona,7985,No,Basic,College,2001-06-11,Employed,F,99069,Rural,Married,66,7,28,0,2,Corporate Auto,Corporate L2,Offer4,Branch,77.442722,Four-Door Car,Medsize
RO89785,Oregon,3509,Yes,Extended,College,2001-05-11,Medical Leave,M,20978,Suburban,Married,98,19,96,1,1,Personal Auto,Personal L3,Offer2,Branch,1176.2788,Four-Door Car,Small
QW40898,Arizona,2722,Yes,Basic,College,2002-02-11,Medical Leave,F,17576,Suburban,Married,71,29,70,0,1,Personal Auto,Personal L1,Offer2,Call Center,398.502948,Four-Door Car,Medsize
ZD40816,Nevada,2784,No,Basic,Bachelor,1/22/11,Employed,M,42297,Urban,Married,71,29,62,0,1,Personal Auto,Personal L3,Offer4,Agent,200.38673,Four-Door Car,Medsize
PD82395,Arizona,8650,No,Premium,Bachelor,1/21/11,Unemployed,F,0,Suburban,Married,115,0,3,0,3,Special Auto,Special L1,Offer1,Branch,824.597262,Four-Door Car,Small
NW23827,California,4653,No,Basic,College,2001-05-11,Unemployed,F,0,Rural,Married,63,21,23,0,7,Personal Auto,Personal L3,Offer1,Agent,151.231247,Four-Door Car,Medsize
GG61186,Nevada,8396,No,Premium,Doctor,2001-11-11,Unemployed,F,0,Rural,Married,110,22,72,0,9,Personal Auto,Personal L1,Offer1,Agent,161.092415,Four-Door Car,Medsize
TB31268,Arizona,8805,No,Basic,College,1/14/11,Employed,F,48990,Suburban,Married,74,3,20,0,2,Personal Auto,Personal L3,Offer2,Web,355.2,Four-Door Car,Medsize
SX98462,Oregon,7155,No,Basic,College,2/28/11,Disabled,M,16916,Suburban,Married,64,31,31,0,2,Personal Auto,Personal L2,Offer3,Agent,377.512951,Four-Door Car,Medsize
OL82456,Oregon,3954,Yes,Basic,Bachelor,2/25/11,Disabled,M,18375,Suburban,Married,103,8,50,0,1,Personal Auto,Personal L1,Offer1,Branch,535.080276,Sports Car,Large
DN14211,Oregon,15033,No,Basic,College,1/17/11,Medical Leave,M,17150,Suburban,Married,65,28,19,0,2,Personal Auto,Personal L2,Offer1,Agent,689.800891,Two-Door Car,Medsize
ZG12619,Washington,8258,Yes,Basic,Bachelor,2001-12-11,Disabled,F,23815,Suburban,Married,73,4,47,0,2,Personal Auto,Personal L1,Offer2,Call Center,424.330166,Four-Door Car,Medsize
VH31071,Arizona,9257,No,Basic,College,1/19/11,Disabled,F,21947,Suburban,Married,118,30,76,0,9,Personal Auto,Personal L3,Offer1,Call Center,566.4,SUV,Large
SP36555,Arizona,6508,No,Extended,Bachelor,1/20/11,Unemployed,M,0,Suburban,Single,97,4,11,0,4,Personal Auto,Personal L1,Offer1,Agent,863.219668,Four-Door Car,Medsize
ME83611,Nevada,2531,Yes,Basic,Bachelor,1/21/11,Employed,F,89451,Rural,Single,63,11,2,0,1,Personal Auto,Personal L3,Offer2,Web,61.769564,Four-Door Car,Medsize
PH85036,Washington,5483,No,Basic,Bachelor,2002-10-11,Employed,F,79325,Urban,Married,68,4,31,0,4,Corporate Auto,Corporate L2,Offer2,Agent,251.294821,Four-Door Car,Medsize
PE54870,Oregon,4051,No,Basic,College,2/26/11,Employed,M,88454,Urban,Divorced,101,8,89,0,1,Personal Auto,Personal L3,Offer1,Web,308.749796,SUV,Medsize
DT52189,California,6327,No,Extended,High School or Below,2001-10-11,Unemployed,F,0,Suburban,Divorced,87,2,41,0,3,Personal Auto,Personal L2,Offer3,Call Center,417.6,Four-Door Car,Medsize
XN48526,California,2628,No,Basic,College,2002-04-11,Medical Leave,F,20943,Urban,Married,69,0,86,0,1,Personal Auto,Personal L3,Offer3,Branch,240.00056,Four-Door Car,Medsize
KW52227,California,7815,No,Basic,Bachelor,2002-07-11,Employed,M,51972,Suburban,Married,66,19,22,0,2,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize
JC98569,Oregon,6315,No,Extended,College,1/16/11,Employed,F,54408,Urban,Married,79,29,17,0,4,Personal Auto,Personal L1,Offer2,Branch,288.329793,Four-Door Car,Medsize
BG48083,Nevada,6386,No,Extended,Bachelor,1/20/11,Employed,F,23751,Suburban,Single,82,4,9,1,7,Personal Auto,Personal L2,Offer1,Web,586.921708,Two-Door Car,Medsize
PD19551,California,2538,No,Basic,Bachelor,2002-11-11,Employed,F,37612,Suburban,Divorced,64,0,32,0,1,Personal Auto,Personal L2,Offer3,Call Center,307.2,Four-Door Car,Small
BJ13380,Oregon,5335,No,Basic,Bachelor,2/28/11,Employed,F,91603,Suburban,Single,69,4,92,2,3,Personal Auto,Personal L2,Offer1,Agent,472.67262,Four-Door Car,Small
HY25004,Arizona,4549,No,Basic,High School or Below,2001-10-11,Unemployed,F,0,Suburban,Married,62,12,53,0,3,Personal Auto,Personal L3,Offer2,Call Center,639.758314,Two-Door Car,Medsize
WF50693,Oregon,4836,No,Extended,High School or Below,2001-08-11,Disabled,M,16450,Suburban,Married,128,6,81,0,1,Corporate Auto,Corporate L3,Offer1,Branch,871.484565,SUV,Medsize
MA45099,Oregon,6479,No,Extended,Bachelor,2/24/11,Employed,M,50864,Rural,Married,83,18,86,1,4,Corporate Auto,Corporate L1,Offer1,Agent,158.362972,Four-Door Car,Medsize
ZC69696,Arizona,35440,No,Basic,College,2/16/11,Employed,F,74560,Suburban,Divorced,110,31,20,0,2,Personal Auto,Personal L3,Offer1,Branch,528.0,SUV,Medsize
VO43359,California,2404,No,Basic,High School or Below,2/24/11,Employed,M,62488,Urban,Married,62,35,47,2,1,Personal Auto,Personal L3,Offer2,Call Center,200.689331,Four-Door Car,Medsize
OM63954,California,9265,No,Premium,Bachelor,2/14/11,Employed,F,55837,Suburban,Single,117,16,35,0,9,Personal Auto,Personal L1,Offer2,Agent,741.867506,Two-Door Car,Medsize
GV71044,Oregon,2433,No,Basic,College,2/28/11,Unemployed,F,0,Suburban,Single,66,12,71,0,1,Personal Auto,Personal L3,Offer1,Agent,475.2,Two-Door Car,Medsize
TM79451,California,5367,No,Basic,College,2001-06-11,Employed,F,97742,Rural,Single,67,33,57,0,5,Personal Auto,Personal L1,Offer1,Agent,67.648392,Four-Door Car,Small
PA84292,Oregon,2452,No,Basic,Bachelor,1/24/11,Unemployed,F,0,Suburban,Single,69,13,75,0,1,Personal Auto,Personal L3,Offer1,Agent,496.8,Four-Door Car,Medsize
QX67584,Nevada,8647,Yes,Basic,High School or Below,2001-02-11,Employed,F,64125,Urban,Married,108,3,44,0,3,Personal Auto,Personal L3,Offer2,Branch,369.818708,SUV,Large
JK90180,Arizona,4340,No,Basic,College,2001-06-11,Unemployed,M,0,Suburban,Single,62,22,39,0,6,Personal Auto,Personal L2,Offer3,Branch,446.4,Four-Door Car,Medsize
BH35482,Washington,4931,No,Basic,Doctor,1/20/11,Employed,M,70412,Rural,Married,61,27,12,0,3,Corporate Auto,Corporate L3,Offer3,Web,136.291083,Two-Door Car,Medsize
VU84949,Washington,5293,No,Basic,Bachelor,1/20/11,Unemployed,F,0,Suburban,Married,70,13,8,0,3,Personal Auto,Personal L2,Offer1,Branch,336.0,Two-Door Car,Medsize
SF46129,California,8987,No,Premium,High School or Below,1/26/11,Employed,M,66267,Suburban,Married,111,23,95,0,3,Personal Auto,Personal L2,Offer3,Web,1093.708851,Four-Door Car,Small
OH35544,Nevada,5620,No,Extended,College,1/21/11,Unemployed,F,0,Suburban,Single,82,14,23,0,6,Corporate Auto,Corporate L2,Offer3,Agent,863.935307,Four-Door Car,Medsize
ZF82387,Oregon,10340,No,Extended,High School or Below,2001-12-11,Employed,M,40882,Urban,Divorced,89,6,17,0,2,Corporate Auto,Corporate L3,Offer2,Branch,393.637436,Two-Door Car,Large
MD40054,Oregon,6369,Yes,Extended,High School or Below,1/20/11,Employed,M,34498,Suburban,Single,83,30,72,0,7,Personal Auto,Personal L2,Offer2,Branch,398.4,Two-Door Car,Small
LE96510,Oregon,2768,No,Basic,High School or Below,1/30/11,Unemployed,F,0,Suburban,Married,74,0,52,0,1,Personal Auto,Personal L3,Offer1,Call Center,355.2,Four-Door Car,Small
MC11907,California,4831,No,Basic,High School or Below,2/20/11,Medical Leave,F,23228,Suburban,Married,64,4,0,1,6,Corporate Auto,Corporate L3,Offer1,Agent,307.2,Four-Door Car,Medsize
DA57177,Oregon,4283,Yes,Basic,College,2/26/11,Employed,F,40864,Rural,Married,109,16,70,1,1,Personal Auto,Personal L2,Offer1,Agent,166.937747,SUV,Medsize
SU77646,Oregon,5718,No,Basic,Master,2001-11-11,Employed,M,46133,Rural,Divorced,73,7,78,0,5,Personal Auto,Personal L2,Offer1,Branch,19.626306,Four-Door Car,Large
YZ19736,Arizona,2581,Yes,Basic,College,2002-09-11,Employed,M,46900,Suburban,Married,66,13,59,0,1,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize
JZ69749,Washington,6481,No,Extended,High School or Below,2002-11-11,Unemployed,F,0,Suburban,Single,92,1,17,0,6,Personal Auto,Personal L2,Offer3,Agent,441.6,Four-Door Car,Medsize
BJ22117,Washington,5133,No,Basic,Master,2002-10-11,Employed,M,53390,Urban,Married,64,13,41,0,5,Personal Auto,Personal L2,Offer3,Branch,278.999409,Four-Door Car,Medsize
UQ60825,California,9370,No,Basic,College,1/25/11,Employed,F,99185,Urban,Married,115,8,19,0,3,Corporate Auto,Corporate L3,Offer2,Call Center,449.428182,SUV,Medsize
ZZ89380,Oregon,3197,No,Extended,Bachelor,2001-10-11,Employed,F,62815,Rural,Married,80,14,84,0,1,Special Auto,Special L1,Offer2,Call Center,47.061469,Two-Door Car,Large
LU87443,Oregon,4721,No,Basic,College,2/28/11,Employed,F,26277,Suburban,Single,61,17,30,0,4,Personal Auto,Personal L2,Offer3,Branch,292.8,Four-Door Car,Medsize
DG33206,Washington,8862,No,Premium,Doctor,1/16/11,Employed,F,41854,Urban,Married,110,17,44,0,8,Personal Auto,Personal L3,Offer1,Agent,481.269644,Four-Door Car,Medsize
AB98823,Arizona,6033,No,Extended,College,2002-04-11,Unemployed,M,0,Suburban,Married,86,4,56,0,8,Personal Auto,Personal L3,Offer2,Web,412.8,Two-Door Car,Medsize
MS34991,Arizona,6832,No,Extended,High School or Below,1/14/11,Employed,M,66627,Suburban,Married,85,32,55,0,8,Personal Auto,Personal L1,Offer2,Branch,733.21126,Four-Door Car,Medsize
EE53627,Oregon,2242,No,Basic,High School or Below,2/28/11,Disabled,M,12131,Urban,Single,64,32,60,1,1,Personal Auto,Personal L2,Offer3,Call Center,251.44949,Four-Door Car,Medsize
XY39691,Arizona,4158,No,Basic,High School or Below,2002-03-11,Unemployed,F,0,Suburban,Married,110,4,61,0,1,Personal Auto,Personal L2,Offer1,Web,528.0,SUV,Medsize
ZU96776,California,6189,No,Extended,Bachelor,2001-01-11,Unemployed,M,0,Suburban,Single,90,4,18,0,5,Personal Auto,Personal L1,Offer1,Call Center,648.0,Two-Door Car,Large
FF84784,California,5644,No,Basic,College,2002-10-11,Employed,M,33317,Suburban,Married,72,18,31,1,3,Personal Auto,Personal L2,Offer1,Agent,345.6,Two-Door Car,Medsize
QT90140,Arizona,5332,Yes,Basic,Doctor,2/22/11,Employed,F,68931,Urban,Married,66,32,30,0,7,Personal Auto,Personal L2,Offer2,Branch,309.577946,Four-Door Car,Medsize
TO71844,Oregon,2121,No,Basic,College,2/26/11,Unemployed,M,0,Suburban,Single,67,6,60,1,1,Personal Auto,Personal L2,Offer4,Branch,321.6,Four-Door Car,Large
HV69023,California,8282,No,Basic,High School or Below,2001-05-11,Medical Leave,F,19189,Suburban,Married,108,21,9,0,3,Personal Auto,Personal L2,Offer2,Web,518.4,SUV,Large
RE32481,California,7836,No,Basic,Master,1/20/11,Employed,F,49390,Urban,Married,195,31,15,0,1,Personal Auto,Personal L1,Offer4,Call Center,738.05105,Luxury Car,Medsize
CA79988,Oregon,2553,No,Basic,College,2002-06-11,Employed,M,33124,Rural,Single,67,35,7,0,1,Personal Auto,Personal L1,Offer1,Call Center,80.119997,Four-Door Car,Large
DO48071,California,2795,No,Basic,College,1/31/11,Employed,F,40516,Rural,Married,70,21,31,0,1,Personal Auto,Personal L3,Offer2,Web,137.168874,Two-Door Car,Small
MW48891,Washington,8007,Yes,Basic,High School or Below,2001-02-11,Unemployed,F,0,Suburban,Divorced,112,12,93,0,3,Personal Auto,Personal L3,Offer1,Web,537.6,Sports Car,Medsize
JC37277,Oregon,6886,No,Extended,College,2001-06-11,Employed,M,34615,Suburban,Married,87,6,73,0,7,Personal Auto,Personal L2,Offer1,Agent,417.6,Four-Door Car,Medsize
YU80673,California,5107,No,Basic,College,2002-07-11,Disabled,F,29894,Rural,Married,72,9,69,4,3,Personal Auto,Personal L3,Offer3,Agent,16.510134,Four-Door Car,Large
BV69462,Oregon,5612,No,Extended,Bachelor,2002-07-11,Unemployed,F,0,Suburban,Single,79,32,2,0,3,Corporate Auto,Corporate L3,Offer1,Branch,379.2,Two-Door Car,Medsize
DW86238,Washington,5659,No,Extended,High School or Below,1/30/11,Unemployed,M,0,Suburban,Single,84,32,96,0,4,Personal Auto,Personal L1,Offer3,Web,847.490817,Four-Door Car,Medsize
BQ51616,Oregon,7264,No,Basic,High School or Below,2/22/11,Employed,F,86732,Rural,Married,180,0,95,0,1,Personal Auto,Personal L1,Offer1,Call Center,204.373113,Luxury SUV,Medsize
XX89213,Nevada,8712,No,Extended,Master,1/21/11,Employed,F,68516,Rural,Married,216,17,0,0,1,Corporate Auto,Corporate L2,Offer2,Branch,95.693949,Luxury SUV,Medsize
JC96695,California,9199,No,Basic,Doctor,2001-10-11,Employed,M,31562,Suburban,Married,115,14,6,0,3,Personal Auto,Personal L2,Offer1,Call Center,552.0,SUV,Medsize
RN55306,Oregon,5162,No,Basic,High School or Below,2001-10-11,Unemployed,F,0,Suburban,Single,74,33,92,0,4,Personal Auto,Personal L1,Offer1,Agent,582.420512,Four-Door Car,Medsize
WH36609,Arizona,6290,No,Extended,Bachelor,2001-05-11,Employed,F,24477,Suburban,Married,79,15,32,0,3,Personal Auto,Personal L3,Offer4,Call Center,379.2,Four-Door Car,Small
UO43395,Oregon,3650,No,Basic,Master,1/31/11,Unemployed,M,0,Suburban,Single,100,31,80,0,1,Personal Auto,Personal L3,Offer1,Agent,480.0,SUV,Medsize
DS32060,California,6767,No,Extended,College,2/24/11,Employed,M,20046,Suburban,Married,87,15,59,0,3,Personal Auto,Personal L2,Offer3,Web,417.6,Two-Door Car,Medsize
LK51056,Arizona,4631,No,Basic,Bachelor,2001-12-11,Employed,M,78152,Suburban,Married,114,18,35,0,1,Corporate Auto,Corporate L3,Offer4,Branch,547.2,SUV,Medsize
PX71218,Arizona,6811,No,Basic,Bachelor,1/14/11,Unemployed,M,0,Suburban,Married,65,7,47,0,2,Personal Auto,Personal L3,Offer4,Branch,733.522405,Four-Door Car,Large
NS19456,Oregon,9379,No,Basic,College,2001-07-11,Employed,F,36067,Suburban,Married,117,30,78,0,3,Personal Auto,Personal L3,Offer2,Branch,561.6,Sports Car,Large
MR60878,Oregon,15763,No,Basic,Bachelor,2/15/11,Employed,F,44362,Rural,Married,66,15,75,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,142.113373,Four-Door Car,Small
MB32944,Nevada,2636,No,Basic,Master,2001-06-11,Employed,M,77350,Suburban,Divorced,66,11,4,0,1,Personal Auto,Personal L1,Offer4,Branch,316.8,Four-Door Car,Medsize
FE70473,Oregon,5742,No,Basic,College,1/29/11,Employed,F,86641,Rural,Married,71,17,79,0,6,Personal Auto,Personal L3,Offer4,Branch,161.752532,Two-Door Car,Small
XB64251,Oregon,8415,No,Basic,College,1/27/11,Employed,M,72258,Rural,Married,105,8,50,0,4,Personal Auto,Personal L2,Offer1,Branch,12.497538,SUV,Medsize
WI38796,Oregon,9124,No,Basic,Bachelor,2001-03-11,Employed,M,70737,Suburban,Married,114,25,12,0,4,Corporate Auto,Corporate L3,Offer4,Web,741.655597,SUV,Medsize
KS12294,California,15994,No,Premium,Bachelor,2/16/11,Unemployed,M,0,Suburban,Single,159,19,75,0,2,Personal Auto,Personal L3,Offer1,Web,1410.16929,SUV,Medsize
US89453,California,9022,No,Extended,College,2001-10-11,Unemployed,M,0,Suburban,Single,125,7,99,0,3,Personal Auto,Personal L3,Offer1,Branch,988.535078,SUV,Large
XK39439,California,4760,No,Extended,College,1/24/11,Unemployed,M,0,Suburban,Single,81,10,80,3,3,Personal Auto,Personal L3,Offer1,Agent,388.8,Four-Door Car,Medsize
VJ71087,Arizona,3994,No,Basic,Bachelor,2001-09-11,Disabled,M,17672,Suburban,Divorced,110,28,16,0,1,Personal Auto,Personal L1,Offer3,Branch,792.0,SUV,Medsize
FM54600,Washington,18854,No,Premium,High School or Below,1/14/11,Unemployed,F,0,Suburban,Single,173,24,21,0,2,Corporate Auto,Corporate L2,Offer2,Branch,1245.6,SUV,Medsize
UV43859,Oregon,8840,No,Basic,High School or Below,1/22/11,Employed,F,47297,Suburban,Married,115,10,46,4,4,Personal Auto,Personal L3,Offer2,Web,796.130111,SUV,Medsize
JP28293,California,6697,No,Extended,Doctor,2001-09-11,Employed,F,57240,Rural,Married,83,18,79,0,7,Corporate Auto,Corporate L3,Offer2,Call Center,83.652384,Four-Door Car,Medsize
UV48189,California,8476,No,Basic,Bachelor,1/22/11,Employed,M,28181,Suburban,Married,109,32,41,0,3,Personal Auto,Personal L2,Offer3,Call Center,523.2,SUV,Medsize
ZA34848,Arizona,5206,No,Basic,Bachelor,1/26/11,Employed,F,31275,Suburban,Divorced,66,26,0,0,3,Personal Auto,Personal L3,Offer2,Agent,316.8,Two-Door Car,Medsize
FA57012,California,6142,No,Basic,College,2/17/11,Unemployed,M,0,Suburban,Single,182,24,45,0,1,Special Auto,Special L2,Offer3,Branch,1310.4,Luxury Car,Small
GU82757,California,4376,Yes,Premium,Bachelor,2/28/11,Employed,F,63774,Rural,Divorced,111,18,63,0,1,Corporate Auto,Corporate L2,Offer2,Agent,60.036683,Four-Door Car,Medsize
KW12214,Oregon,12375,No,Basic,High School or Below,2001-05-11,Employed,M,78441,Suburban,Married,103,6,73,0,2,Personal Auto,Personal L3,Offer2,Branch,613.866905,SUV,Medsize
EG97649,Oregon,3451,No,Basic,College,1/31/11,Unemployed,F,0,Suburban,Divorced,104,19,65,2,1,Personal Auto,Personal L1,Offer1,Branch,499.2,SUV,Small
YB42706,Nevada,8107,No,Extended,College,1/23/11,Unemployed,M,0,Suburban,Married,76,0,91,0,2,Corporate Auto,Corporate L1,Offer3,Branch,364.8,Two-Door Car,Small
WV74449,Washington,8662,No,Basic,College,2002-12-11,Unemployed,F,0,Urban,Married,117,0,65,0,4,Personal Auto,Personal L3,Offer3,Call Center,511.422666,SUV,Medsize
AZ77669,Oregon,8697,No,Basic,High School or Below,2002-01-11,Employed,M,91423,Urban,Married,109,3,71,1,5,Personal Auto,Personal L2,Offer1,Web,435.796252,SUV,Medsize
FM25704,Oregon,2535,No,Basic,Bachelor,2/26/11,Employed,M,86933,Urban,Married,63,3,64,0,1,Corporate Auto,Corporate L3,Offer3,Agent,269.563038,Two-Door Car,Large
UR34922,California,5634,No,Basic,Doctor,2002-02-11,Employed,M,65255,Urban,Divorced,72,3,65,2,3,Personal Auto,Personal L3,Offer1,Agent,321.457124,Four-Door Car,Small
RA17555,Oregon,5177,No,Basic,High School or Below,2002-07-11,Employed,M,41533,Urban,Married,65,2,46,0,9,Corporate Auto,Corporate L2,Offer3,Agent,232.879766,Four-Door Car,Medsize
AW71157,California,5532,No,Basic,College,1/16/11,Employed,M,50097,Rural,Divorced,71,25,81,0,5,Personal Auto,Personal L1,Offer3,Web,17.484679,Four-Door Car,Medsize
IN91592,California,2811,No,Basic,Bachelor,2/28/11,Employed,F,73858,Suburban,Married,72,8,59,3,1,Personal Auto,Personal L3,Offer4,Agent,422.59237,Four-Door Car,Medsize
WX37953,Oregon,2781,No,Basic,College,2/22/11,Employed,F,94943,Suburban,Married,69,3,22,0,1,Personal Auto,Personal L2,Offer2,Web,387.545055,Four-Door Car,Medsize
NL85206,California,2572,No,Basic,College,2/21/11,Employed,F,72685,Rural,Married,68,20,97,5,1,Personal Auto,Personal L3,Offer4,Branch,14.464783,Four-Door Car,Medsize
PR23514,California,7664,No,Basic,College,1/23/11,Employed,M,60184,Rural,Divorced,199,7,44,1,1,Personal Auto,Personal L3,Offer2,Web,161.61574,Luxury SUV,Medsize
XZ23352,California,3840,No,Basic,High School or Below,2/13/11,Unemployed,F,0,Suburban,Single,106,29,38,0,1,Corporate Auto,Corporate L3,Offer4,Call Center,763.2,SUV,Small
MX80067,California,2509,No,Basic,High School or Below,2001-08-11,Employed,M,74045,Suburban,Single,64,23,83,0,1,Personal Auto,Personal L3,Offer3,Web,307.2,Four-Door Car,Medsize
HR10835,Nevada,14566,No,Extended,High School or Below,2002-11-11,Employed,M,52564,Rural,Married,122,33,28,0,2,Personal Auto,Personal L3,Offer2,Branch,42.131925,SUV,Medsize
FR15942,Washington,3221,No,Extended,Bachelor,2001-06-11,Medical Leave,M,19098,Suburban,Married,87,35,3,0,1,Personal Auto,Personal L2,Offer2,Branch,417.6,Two-Door Car,Medsize
GX22886,Arizona,3200,No,Extended,College,1/25/11,Employed,M,78784,Urban,Married,80,33,72,0,1,Personal Auto,Personal L3,Offer2,Agent,239.964694,Four-Door Car,Medsize
HQ70429,Washington,16045,No,Basic,College,2/20/11,Unemployed,F,0,Rural,Single,65,10,10,0,2,Personal Auto,Personal L3,Offer2,Agent,163.046956,Two-Door Car,Medsize
YT84266,Oregon,4919,No,Basic,College,2/17/11,Employed,M,29256,Suburban,Married,63,33,41,0,5,Personal Auto,Personal L1,Offer4,Branch,302.4,Four-Door Car,Medsize
GH48715,Arizona,5624,No,Basic,High School or Below,1/31/11,Employed,F,77912,Rural,Single,71,2,21,1,3,Corporate Auto,Corporate L3,Offer3,Branch,23.89816,Four-Door Car,Medsize
BN46866,Oregon,5677,No,Basic,College,2/25/11,Employed,M,45345,Rural,Married,72,28,86,0,3,Personal Auto,Personal L3,Offer1,Web,99.039453,Four-Door Car,Large
CG94611,Oregon,3016,No,Extended,College,2001-07-11,Medical Leave,M,25630,Suburban,Single,86,8,63,0,1,Corporate Auto,Corporate L3,Offer4,Agent,412.8,Two-Door Car,Medsize
GK94889,California,5279,No,Basic,College,2002-12-11,Employed,M,22280,Rural,Married,68,10,48,0,3,Personal Auto,Personal L3,Offer3,Web,169.414572,Four-Door Car,Large
QN62538,Nevada,4804,No,Basic,High School or Below,2/24/11,Unemployed,M,0,Suburban,Single,69,31,25,0,7,Corporate Auto,Corporate L2,Offer1,Call Center,496.8,Four-Door Car,Small
UQ13133,Nevada,2609,No,Basic,Master,2002-11-11,Employed,M,61567,Rural,Married,65,35,78,0,1,Personal Auto,Personal L1,Offer4,Branch,39.532978,Four-Door Car,Small
DI65961,Arizona,7833,No,Basic,High School or Below,2001-09-11,Employed,M,34644,Suburban,Married,66,7,36,0,2,Personal Auto,Personal L3,Offer4,Agent,316.8,Four-Door Car,Medsize
WQ85760,California,4260,No,Basic,College,2002-05-11,Medical Leave,M,26991,Suburban,Divorced,119,34,65,0,1,Corporate Auto,Corporate L3,Offer3,Branch,856.8,SUV,Medsize
No35621,Arizona,2369,No,Basic,Bachelor,1/19/11,Employed,M,49746,Suburban,Single,61,5,88,0,1,Personal Auto,Personal L2,Offer2,Call Center,624.42874,Two-Door Car,Small
IA11644,California,20604,No,Basic,High School or Below,2/21/11,Unemployed,M,0,Suburban,Single,72,8,61,1,2,Special Auto,Special L3,Offer3,Branch,723.010515,Two-Door Car,Medsize
TV53243,Arizona,2652,No,Basic,College,2001-08-11,Employed,F,49625,Urban,Married,66,29,9,0,1,Corporate Auto,Corporate L1,Offer3,Agent,261.549577,Two-Door Car,Medsize
WV53081,Arizona,2598,No,Basic,College,2/14/11,Employed,F,49308,Rural,Married,65,7,97,0,1,Corporate Auto,Corporate L1,Offer3,Agent,150.235884,Four-Door Car,Medsize
LL57541,California,7712,No,Extended,Master,1/14/11,Employed,F,63624,Rural,Married,95,10,5,0,5,Personal Auto,Personal L3,Offer1,Call Center,175.243467,Four-Door Car,Medsize
RP27249,Oregon,4699,No,Basic,Master,2001-11-11,Employed,F,80358,Urban,Married,116,19,2,0,1,Personal Auto,Personal L3,Offer4,Agent,443.637243,SUV,Large
OT85112,Washington,3404,No,Extended,College,2/24/11,Employed,M,38460,Rural,Divorced,88,15,1,1,1,Personal Auto,Personal L3,Offer1,Agent,91.55098,Four-Door Car,Medsize
GV47847,California,4356,No,Basic,High School or Below,2001-02-11,Unemployed,M,0,Suburban,Single,64,22,22,0,4,Personal Auto,Personal L2,Offer4,Branch,460.8,Two-Door Car,Medsize
BB48165,California,11096,No,Basic,Bachelor,2001-03-11,Unemployed,F,0,Suburban,Single,101,10,48,0,2,Personal Auto,Personal L3,Offer1,Agent,727.2,SUV,Medsize
